;question;reference_answer;generated_answer;load_duration;total_duration;prompt_eval_duration;eval_duration;response_token_sum;prompt_token_sum;ref_answer_token_sum
10;What is the worlds largest academic and private library system?;Harvard Library;"The world's largest academic and private library system as of my knowledge cutoff in early 2decade, known for its extensive catalog of books, periodicals, manuscripts, recordings, maps, drawings, prints, photographs, computer files, fungus culture specimens, graphic materials, sound ephemera (e.g., scrapbooks), and other formats is the Harvard Library system in Cambridge, Massachusetts. The university library itself consists of 75 physical libraries with an estimated total collection size exceeding eleven million items including books, periodicals, manuscripts, recordings, images, films, and maps as well as its digital holdings that surpass fifteen petabytes consisting largely of full-text documents available online.

Harvard Library is not just one library but a complex network comprising the Harvard University Libraries (HUL) which consist primarily of individual libraries across the university's campuses in Cambridge and Allston, as well as its offsite collections including rare books and manuscripts housed at separate facilities such as Houghton Library. The system also includes consortium partnerships with other academic institutions to provide access for their users through shared resources like interlibrary loan services, digital repositories, specialized bibliographic databases, research centers focused on specific subjects or disciplines across various campuses and libraries around the world which greatly expands its reach globally.

Harvard's collections are diverse covering all human knowledge areas from ancient history to contemporary scholarship in virtually every discipline of study possible - reflecting Harvard's role as an educational institution dedicated not only towards academic excellence but also intellectual curiosity and exploration, fostering a culture that values the pursuit of truth through rigorous research. Its size, scope, accessibility, breadth and depth make it one of the most significant cultural resources in our world today with global impact beyond academia's borders touching upon social justice issues to artistic endeavors among others while continuously evolving alongside advancements in digital technology including digitizing rare manuscript collections for wider sharing amongst researchers around the globe.

It is worth noting that there are other large academic and private library systems worldwide such as The British Library's national collection based at London, or Paris-based Bibliothèque nationale de France (BnF) which boasts one of Europe’s largest collections with over 45 million items but these do not surpass Harvard in sheer size. In terms of individual libraries within academic and research institutions such as the Bodleian Library Oxford University's Sherardian Collection or The New York Public Library (NYPL) which also holds significant holdings for scholarly work, they have yet to be combined into a single unified system like Harvard but still remain invaluable resources nonetheless.";0.003986519;3.41634607;0.008;3.403;586;11;2
11;Which Florida city has the biggest population?;Jacksonville;The largest city in Florida by population is Jacksonville. As of my knowledge cutoff date, its estimated population stands at over 930,00 end-of-2021 figures provided no significant demographic changes have occurred since then. The next most populous cities include Tallahassee, Orlando, and Miami with populations below Jacksonville's level respectively.;0.003541047;0.624922702;0.012;0.608;80;8;3
12;What percentage of global assets does the richest 1% of people have?;40%;According to a report by Oxfam, in 2013, the world'in wealthiest one percent had approximately 44.8 percent of all reported private wealth - which includes land and other tangible property but not money or financial assets (which are harder to account for). However, when we only consider global stock market capitalization – a more accurate indicator that tracks shares held by individuals around the world- this figure rises significantly: it's estimated at about 82 percent. Please note these figures can fluctuate over time and depend on varying methodologies of calculating wealth distribution.;0.004184914;0.912761496;0.013;0.894;127;14;2
13;Where was France's Huguenot population largely centered?;the southern and central parts of France;The Huguenots, or French Protestants during the Reformation era in Europe (primarily between the mid-16th and late 17th century), were predominantly concentrated in regions such as Normandy, Poitou, Saintonge, Aunis, Maine, parts of Alsace, Franche-Comté, Burgundy, Savoy, Brittany, Dauphiné, Provence, and the Rhône River Valley. Many Huguenots sought refuge in these areas due to religious differences with Catholic France at that time under Louis XIV's rule which often led to persecution of Protestants known as The Edict of Nantes was revoked leading many more fleeing into exile particularly England, Switzerland and South Africa but also the US.;0.003576593;1.146009378;0.012;1.129;167;12;7
14;What is a ctenophora?;phylum of animals that live in marine waters;"Ctenophora, also known as comb jellies or sea walnuts, are a phylum of marine invertebrates within the animal kingdom. They're characterized by their gelatinous bodies and eight rows of ciliated plates (called 'ctenes') that run across their surface these unique features help them move through water with a distinctive shimmering effect created by their bioluminescenz, which is why they are often referred to as ""sea sparkles.""

The phylum contains over 100 species and can be found in oceans worldwide, typically near the surface where sunlight penetrates. Despite their name being associated with 'jellyfish,' comb jellies do not have a sting and are generally harmless to humans unless accidentally ingested when swimming or diving due to their gelatinous texture which can be mistaken for food by unaware divers.

Ctenophores exhibit radial symmetry, meaning they're capable of being divided into similar halves along any longitudinal plane passing through the center—a common trait among many aquatic invertebrates such as jellyfish and starfish (echinoderms). They are also known for their unique mode of feeding most comb jellies prey on small animals like copepods, larvae, and other tiny sea creatures.

Interestingly, ctenophores have a remarkable ability to regenerate lost body parts in some cases—an adaptation that likely helps them survive when injured by predators or accidents while swimming through the water column with their eight rows of combs lined with tentacles for capturing prey.

Despite being one of nature's most beautiful creatures, ctenophores face numerous threats due to habitat loss and environmental changes—threatening not just themselves but also other animals that rely on them as part of the marine food chain like fish larvae or small shrimps. As such, conservation efforts are needed for their continued survival in our oceans’ ecosystems!";0.003601184;2.816786633;0.011;2.801;453;9;9
15;Along with non-governmental and nonstate schools, what is another name for private schools?;indipendent;"Another term often used to refer to both governmental/non-governmental and nonstate schools collectively as alternative or independent schools. This can encompass a wide range of educational institutions that offer alternatives outside the traditional public school system, including but not limited to parochial (religiously affiliated) private schools often found in religious communities such as Catholic schools for instance.

Please note that 'nonstate' isn't typically used terminology within English-speaking education systems and it might lead to confusion however, you could potentially interpret this term broadly as referring to nonpublic or independent educational institutions not directly controlled by governmental entities but operating independently under various forms of private ownership.";0.003653542;1.103019336;0.015;1.083;147;19;3
16;What is the largest city of Poland?;Warsaw;The largest city in Poland, both by population and area, is Warsaw. As of my knowledge cutoff date in early 2023, it has a population exceeding three million inhabitants within its metropolitan area, making it not only the capital but also one of Europe'th most populous cities after Berlin.;0.003531088;0.553332592;0.019;0.529;67;8;2
17;By what means is imperialism usually administered?;colonization, use of military force, or other means;"Imperialism, the policy of extending a country's power by acquiring territories or influencing areas beyond its own borders, has historically been administered through various methods. These include direct colonial rule where an empire establishes full control over another territory and governs it directly economic exploitation which involves manipulating local economies to benefit the imperial power often coupled with political influence without formal governmental structures being imposed by that foreign entity, as seen in neocolonialism.

There are also indirect methods such as protectorates or puppet governments where an empire influences another region but allows for some form of local rule under the guidance and control of imperial representatives spheres of influence which define areas within a country that is ostensibly independent, yet heavily influenced economically and politically by foreign powers without formal administration. Lastly, cultural imperialism extends beyond direct governance into soft power tactics such as spreading language, culture, education, religion, etc., to gain indirect control or at least significant sway over the colonized region's identity and values.";0.003983509;1.573618458;0.011;1.557;231;9;11
18;How long did it take to improve on Sir Isaac Newton's laws of motion?;nearly three hundred years;"The development and improvement upon the laws of motion by various scientists took place over several centuries. After Newton published his three fundamental laws in ""Philosophiæ Naturalis Principia Mathematica"" (Mathematical Principles of Natural Philosophy) in 1687, it wasn't until about a century later that significant advancements were made based on them.

Notably, the late 19th and early 20th centuries saw important refinements due to Albert Einstein’s theory of relativity (published between 1905-1915) which redefined concepts related to mass, energy, time, and space that Newtonian mechanics couldn't fully explain. The special theory of relativity in particular significantly impacted the understanding of motion at speeds approaching the speed of light—something classical physics struggled with.

However, it wasn’t until around mid-20th century when Quantum Mechanics started to blend into mainstream Physics which led scientists like Richard Feynman and Julian Schwinger to reinterpret Newton's laws on a quantum scale in the framework of path integral formulation or Schrödinger equation respectively. 

Nonetheless, for most everyday purposes – such as predicting the trajectory of an object falling under gravity - these modifications are unnecessary Newtonian mechanics suffice and provide accurate results within its applicable domain (i.e., non-relativistic speeds). So it depends on what 'improve' means in this context, but for practical purposes like calculating projectile motion or objects moving at a constant speed where relativistic effects are negligible - Newton’s laws still stand strong and accurate after centuries of use without significant modifications. 

In summary, while there have been refinements over time to account for high speeds (relativistic physics) and subatomic particles (quantum mechanics), the core principles established by Sir Isaac Newton in his three Laws of Motion continue to serve as a strong foundation within their applicable domain without significant modifications.";0.00352927;2.838698177;0.018;2.816;440;17;4
19;What aspects of life does Islamism seek to integrate itself into?;all spheres of life.;"Islamism seeks to incorporate certain principles and values associated with the religion of Islam, particularly those found in its scriptures like the Quran and Hadiths. These ideas are not merely spiritual but also pertaining to social life, aiming for a society based on Islamic law or Sharia that governs many aspects:

1. Social Justice - In an effort to ensure fairness within societies by promoting principles like equality among men (especially between genders), almsgiving and charity as forms of wealth distribution the sharing of resources for social welfare such as zakat, poor relief or public funds funded from these Islamic sources.
   
2. Legal System - An Islamist society would have laws that are derived directly from Quranic teachings (Halakha) and Hadiths which cover every aspect of life including family law, criminal justice system etc. These might include punishments for crimes such as theft or adultery according to sharia principles – though these practices can vary widely among different Islamist groups due to differing interpretations of religious texts.
   
3. Political System - The political structure would be rooted in Islamic concepts like ummah (the global community united by faith), and the idea that leaders should govern according to Sharia principles with an emphasis on justice, fairness as advocated for in Hadiths and other religious texts. Some groups might even seek a caliphate or some form of government ruled directly by Islamic laws where decisions are made based upon Quran-inspired codes of conduct that promote social harmony within the society underpinned by mutual respect among its members, fostering peace and brotherhood (asbab al-nuzul).
   
4. Cultural Life - Music, dress code etc., might be regulated to uphold traditional Islamic norms or practices as per Hadiths that mention restrictions on music for fear of it leading people astray from the path of rightedeousness and moral good (Tahrim al-Nafs).
   
5. Education - The education system would be based around teaching Quran, Arabic language to read scriptures correctly along with Hadith literature as primary sources for Islamic knowledge imparting religious values like Taqwa or Aynamu into students alongside secular subjects if the society allows it and emphasizes on learning by heart.
   
6. Economy - An economy in an Islamist system would prioritize trade based upon principles of fairness, honesty (adl), avoiding oppression like Riba i.e., interest-based transactions which are prohibited under Sharia law encouraging businesses to operate ethically and socially responsibly as part of promoting Tazkiyah or the purification from evil through good deeds – a concept that extends into economic practices too.
   
7. Personal Life - Islamic teachings would guide personal matters such as marriage, divorce rules (talaq), child rearing along with familial responsibilities and respect for parents which are considered sine qua non in many Hadiths these principles form an integral part of life under the influence of any political ideology.
   
8. Environmental Ethics - Islamism also encourages stewardship over nature, as humanity is seen to be trustees on Earth (Khalifah) for Allah and His creatures – a notion that promotes an environmental ethic in line with the teachings of Quran about respecting creation.
   
Remember this description represents one perspective among many interpretations within global Islam, all varying based upon different historical contexts, cultural backgrounds and ideological inclinations towards certain principles or belief systems which are integral to their understanding of life under the influence of any political system like Islamism.";0.003823755;4.874365778;0.005;4.864;825;15;5
20;When was the current parliament of Scotland convened?;Following a referendum in 1997;"The Parliament of Scotland, also known as the Scottish Estates or simply The Estates, is a historical body that evolved into what we now know as the modern devolved Scottish Parliament. However, if you are referring to its most recent incarnation following re-establishment after being dissolved in 1963 due to the creation of a UK parliament with combined powers (and later becoming part of Scotland's governance within this unitary system), it convened for the first time on May 1, 1999. This was following referendums held earlier that year where Scottish voters decided they wished to establish their own Parliament again after being a constituent country in Great Britain alongside England and Wales since then (but under different governance).

However, if you're asking about the historical parliament which existed before 1707 when Scotland merged with England to form Great Britain, it would not be correct or possible as such an entity did not exist after that point. The Scottish Parliament was disbanded and its powers transferred to a United Kingdom-wide legislature in 1707 under the Acts of Union between Scotland and England.";0.003559296;1.657433186;0.012;1.64;246;10;8
21;The immune system protects organisms against what?;disease;The immune system primarily guards the body against infectious agents and pathogens, including bacteria, viruses, fungi, and parasites. It recognizes and eliminates these foreign entities to prevent illness or disease infection through a complex network of cells, tissues, and organs that work collectively as an immune response system. Additionally, the immune system also fights against malignanctum - cancerous tumors within our body by identifying and destroying abnormal cells before they develop into harmful growths or spread to other parts of the organism (a process known as metastasis). This complex defense mechanism is crucial for survival, health maintenance, disease prevention, and overall well-being.;0.004211359;1.09710409;0.005;1.086;160;8;1
22;"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?";nearly $41 trillion;"As an AI, I don't have access to real-time databases or specific financial data from individual years such as exact figures for a group labeled with this moniker. However, according to the Forbes Billionaire List published by Fortune magazine in August 2008 and other similar reports, there were indeed wealthy individuals whose net worth was estimated around $1 million USD or more at that time (although it is rare for someone's entire assets to equate precisely to one million dollars).

To get an estimate of their combined wealth during a specific year like 2008 would require detailed financial data, which typically isn't disclosed due to privacy concerns. However, if you are referring metaphorically or generally speaking about people whose personal net worth was around the $1 million mark in that timeframe and interested only in their aggregate wealth as a concept (not individual figures), it is important to note this amount can fluctuate significantly based on market conditions like economic recessions, stock market performance, real estate values among others. The 2008 global financial crisis led by the collapse of Lehman Brothers had substantial effects not just in America but globally and could have impacted many net worths around $1 million or slightly more if they were heavily invested therein.

In essence, without specific data on individuals who exactly met this wealth bracket during that year (which is virtually non-existent), it's impractical to calculate a precise aggregate amount of combined wealth for the ""10 Million dollar millionaires"" in 2008. However, if we had similar categorizations from credible financial reports or publications as were available during that time (like Forbes Billionaire List) with anonymized data regarding individuals earning between $500k and $1M annually within the U.S., a rough estimate could perhaps be inferred by comparing their wealth to those in similar categories, acknowledging significant variables like stock market performance impacting these figures greatly.
";0.003562317;2.702111706;0.013;2.684;432;18;4
23;When did the 1973 oil crisis begin?;October 1973;"The 1973 oil crisis began on October 6, 1973. It started when the Organization of Arab Petroleum Exporting Countries (OAPEC), led by Saudi Arabia and other Gulf states, imposed an oil embargo against nations perceived as supporting Israel during the Yom Kippur War in which several Middle Eastern countries fought among themselves over territorial disputes. Among these were Egypt, Syria, Iraq, and Jordan who sought to regain control of historically significant territories taken by Western colonial powers or allied states after World War I.

The embargo targeted not only the nations supporting Israel—such as Canada, Japan, Australia, New Zealand, the United States, Britain, France, Germany, Italy, and the Netherlands (referred to collectively in the oil industry as 'the Club of Seven') but also those seen more favorably toward Egypt or Iraq: Spain, Taiwan, South Korea, and Singapore. The impact was devastating for several Western countries that were heavily reliant on Middle Eastern petroleum imports prices quadrupled globally by late 1973 as oil production in the embargoed nations plunged from its regular peak of over thirty million barrels per day to a mere six. The crisis had lasting economic and political consequences, prompting shifts towards energy conservation, efficiency improvements within automobiles (including better fuel economies), alternate forms of transportation like bicycles or public transit in urban areas as well as geopolitical changes which recalibrated the global balance of power.";0.003958936;2.163213139;0.011;2.147;339;9;3
24;When were the Normans in Normandy?;10th and 11th centuries;"The term ""Norman"" refers to the people who settled in what is now France, known as Normandy. Their history begins after their Viking ancestors started raiding and settling in various parts of Europe around the late 8th century but became more established by this time under a feudal system that included local governance structures like fiefs granted to vassals for military service.

The Normans were officially recognized as such after they signed the Treaty of Saint-Clair-sur-Epte with King Charles III of France in 911 AD, which granted them land in Rouen and beyond - this is when we can begin referring to their specific cultural identity that blended Viking heritage with Frankish elements. They established a distinct Norman culture by the mid-10th century, often seen as French Normandy'thy period of history started after they became vassals under Charlemagne in 754 AD and continued into various stages until the region was absorbed into France proper following its annexation during the time surrounding Charles VIII’s invasion in 1492.

Their prominence is best remembered for their conquest of England in 1066, under Duke William II (later known as William I or ""William the Conqueror""), and from then onwards they played a significant role not only within France but across Europe with events like the Norman invasion of Sicily.

So to answer your question: The Normans in their distinct cultural sense were established by 911 AD, following their agreement with Charles III of France which marked them as settlers and vassals who maintained a Viking heritage while also adopting elements of Frankish culture during the procession from Danish homeland.";0.003460497;2.344172442;0.011;2.329;374;8;5
25;What is it called when people in society rebel against laws they think are unfair?;Civil disobedience;When people in society collectively protest or resist the implementation of what they perceive to be unjust laws, this phenomenon can often lead to a civil disobedience movement. Civil disobedience is deliberate and peaceful violation of certain laws, typically those considered by its proponents as morally wrong or oppressive. The term was popularized in the 20th century during several notable events such as Mahatma Gandhi' enduring salt marches against British colonial rule for equality rights in India, Rosa Parks and Martin Luther King Jr.'s protests against racial segregation laws on buses in Alabama USA. It is seen by many sociologists to be an effective form of political activism when legal channels are not providing the desired change or reformations.;0.003872147;1.136893301;0.012;1.12;166;16;2
26;What are the main sources of primary law?;Treaties establishing the European Union;"Primary laws come from several key legal instruments. These include:
1. Constitutions - Serve as a supreme form of governance, dictating how each country should operate and what rights its citizens possess. Examples could be US' Declaration of Independence or France’s Constitution.
2. Statutes - Enacted by legislative bodies (like Parliament), these are laws that regulate society on local issues such as business practices, criminal behavior etc. For example, the UK Businesses Act is a statute. 
3. Case law/Precedents – Decisions made in court cases can become binding precedents for future similar situations based upon legal principles established by previous decisions (like 'stare decisis'). Examples include Brown v Board of Education or Donoghue vs Stevenson which have greatly shaped US and UK common laws. 
4. Regulations – Rules made by governmental agencies with legislative authority to guide how specific statutes are implemented, for instance rules regarding environmental protection in the United States Environmental Protection Agency regulations.  
5. Treaties/International Law - Agreements between countries which can take precedence over a nation' end laws when conflicts arise (like WTO agreements).";0.003629822;1.767054777;0.017;1.745;263;9;6
27;Where did the black death originate?;the arid plains of Central Asia;The Black Death, also known as bubonic plague or Yersinia pestis infection, is believed to have originated in Central Asia. It spread along trade routes towards Europe and China during the Middle Aged around AD 1347. The disease was carried by fleas living on black rats that were common aboard merchant ships throughout these regions of the world.;0.003859326;0.701416078;0.015;0.681;83;8;6
28;What did Paul Baran develop?;Paul Baran developed the concept Distributed Adaptive Message Block Switching;Paul Baran developed the concept of packet switching, a technology fundamental to data communication networks. His work laid significant groundwork for what would later become core aspects of modern computer networking and was instrumental in developing technologies such as Ethernet. In addition to his influential theory on network design that emphasized robustness through decentralization, Baran also co-founded the Society for Participatory Economics (Society for Professionals) with economist Jaroslav Vanek and has contributed to literature addressing economic issues in society, advocating a participatory approach.;0.003523599;0.716433038;0.006;0.706;120;7;12
29;When was the French and Indian War?;1754?1763;The French and Indian War primarily took place between 1754 and 1 end of the conflict, which is typically marked by the signing of the Treaty of Paris on September 3rd in 1763. However, fighting continued locally for several years after that date as hostilities were not entirely resolved everywhere simultaneously. The war began when colonial disputes between British American settlers and French colonists over land claims led to a series of escalated skirmishes starting with the Battle at Fort Necessity in 1754, which is often cited as one of its key events.;0.004021927;0.931885301;0.016;0.911;128;8;5
30;What are the agents the immune system detects known as?;pathogens;The agents that an individual's immune system detects and responds to, such as bacteria, viruses, or fungi, can be referred to collectively as pathogens. When these foreign invaders breach the body’th defenses, typically through physical barriers like skin or mucous membranesor via inhalation into respiratory passages, they come under scrutiny by our immune system's various components which include cells such as macrophages, dendritic cells, and lymphocytes. The adaptive branch of the immune response specifically targets these pathogens using specialized mechanisms tailored to effectively neutralize or eliminate them from the body without harming its own tissues—a testament to the complex interplay between host defense strategies and microbial evasion techniques that have evolved over time.;0.003669016;1.095833404;0.005;1.086;186;12;2
31;What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?;Computational complexity theory;The field in theoretical computer science that is concerned with the classification of computational problems according to their inherent difficulty, complexity classes (like P, NP-complete), as well as various reductions between these classes, is known as Computational Complexity Theory. This area studies how resources like time and memory are required for algorithms solving different types of problem instances or 'instances' within a certain class. It also investigates the implications if problems can be solved faster (i.e., in polynomial-time) than we currently believe possible, which could potentially have profound impacts on numerous fields including cryptography and database management systems among others.;0.003981658;0.921250921;0.014;0.902;132;21;4
32;Which coastline does Southern California touch?;Pacific;Southern California, part of the U.S. state located in the southernmost portion of the Pacific Coastal Belt and bordered by Mexico to the southwest across the Gulf of Mexico, is adjacent to one major body of water – it borders not just any coastline but specifically touches up against the expansive stretch known as the Pacific Ocean. The region's diverse beaches such as Venice Beach in Los Angeles County or Malibu along Ventura and Santa Monica Counties are renowned for their proximity to this vast ocean, offering a clear illustration of Southern California’ end touching upon its coastline by one major body of water: the Pacific Ocean.;0.003691684;0.834889994;0.006;0.823;144;7;1
33;What percentile of gross domestic product is construction comprised of?;six to nine percent;"I'm sorry, but as an AI developed by Microsoft with a knowledge cutoff in early-2023 and without the ability to provide real-time data or specific country references, I cannot give you current exact figures. However, generally speaking, the construction sector can vary significantly across different countries based on factors like economic size, development stage, government policies, population growth, urbanization rates, etc.

To find out what percent of GDP is comprised by construction in a specific country or region as of my last update, you would typically look at reports from national statistics agencies (like the U.S. Bureau of Economic Analysis for the United States) or international organizations such as the International Monetносиa). These entities often publish detailed economic accounts that include data on sectoral contributions to GDP.

Here's a general idea about how construction fits into an economy: In developing countries, construction might be one of the more significant contributors due to rapid urbanization and infrastructure development needs. Meanwhile, in developed nations with well-established infrastructures, its contribution could be lower as services dominate economic output.

To get precise numbers for a specific country or time period, consider consulting national statistical agencies such as:

1. United States Bureau of Labor Statistics (BLS) and the National Income and Product Accounts database for U.S.-specific data 
2. The Office for National Statistics in the UK with their publications on GDP by industry sector
3. Eurostat, which provides EU-wide statistics including construction's share across member states within my knowledge cutoff date.";0.003967959;2.122722032;0.011;2.106;343;13;4
34;Where according to gross state product does Victoria rank in Australia?;second;As of my last update, based on the Gross State Product (GSP), which is similar to a country's Gross Domestic Product but for individual states or territories within a nation, New South Wales ranks as the highest contributor to Australia’th economy. Victoria follows closely after and typically leads Sydney-based economies in terms of contribution towards overall Australian economic output when considering its population size relative to other large cities like Melbourne itself (the capital city). However, I should note that exact rankings can vary yearly based on numerous factors including business cycles, policy changes, demographic shifts, etc. For the most accurate and recent data, it is best to refer directly to sources such as ABS publications or economic analysis reports by reputable institutions like The Australian National University (ANU).;0.003483274;1.150674018;0.02;1.126;166;12;1
